# FELIX	FELIX_CH	CHIP	CHANNEL
0	5	0	36
0	6	5	90
0	6	25	90
0	12	20	125
1	2	14	0
1	7	8	126
1	7	8	127
1	7	13	0
1	7	13	126
1	7	15	0
1	7	15	120
1	7	15	126
1	7	16	0
1	7	16	114
1	7	16	122
1	7	16	126
1	7	16	127
1	7	17	0
1	7	17	72
1	7	17	98
1	7	17	116
1	7	17	120
1	7	17	126
1	7	18	0
1	7	18	2
1	7	18	126
1	7	19	0
1	7	19	122
1	7	19	126
1	7	20	0
1	7	20	127
1	7	21	0
1	7	21	124
1	7	21	126
1	7	21	127
1	7	22	0
1	7	22	126
1	7	23	0
1	7	23	116
1	7	23	126
1	7	24	0
1	7	25	0
1	7	25	126
1	10	17	86
1	11	4	0
1	11	5	126
1	11	7	0
1	11	8	0
1	11	8	102
1	11	8	126
1	11	9	0
1	11	9	124
1	11	9	126
1	11	10	0
1	11	10	126
1	11	11	0
1	11	11	126
1	11	12	0
1	11	15	109
2	1	7	0
2	5	12	2
2	12	3	20
2	12	3	21
3	1	0	36
3	13	18	0
4	8	15	98
4	11	2	110
4	13	15	121
6	1	5	0
6	1	9	0
6	1	10	0
6	1	11	0
6	12	18	0
7	6	24	24
